T1_x,T1_y,T1_r,T2_x,T2_y,T2_r,T1Hold1,T1Hold2,T2Hold1,Move,Total
0,0,50,-31,95,50,1,0.5,0.5,1.5,10
-31,95,50,0,0,50,1,0.5,0.5,1.5,10
0,0,25,-90,-276,25,1,0.5,0.5,1.5,10
-90,-276,25,0,0,25,1,0.5,0.5,1.5,10
0,0,25,-290,0,25,1,0.5,0.5,1.5,10
-290,0,25,0,0,25,1,0.5,0.5,1.5,10
0,0,25,-90,276,25,1,0.5,0.5,1.5,10
-90,276,25,0,0,25,1,0.5,0.5,1.5,10
0,0,50,235,-170,50,1,0.5,0.5,1.5,10
235,-170,50,0,0,50,1,0.5,0.5,1.5,10
0,0,50,-290,0,50,1,0.5,0.5,1.5,10
-290,0,50,0,0,50,1,0.5,0.5,1.5,10
0,0,25,81,-59,25,1,0.5,0.5,1.5,10
81,-59,25,0,0,25,1,0.5,0.5,1.5,10
0,0,25,81,59,25,1,0.5,0.5,1.5,10
81,59,25,0,0,25,1,0.5,0.5,1.5,10
0,0,25,-100,0,25,1,0.5,0.5,1.5,10
-100,0,25,0,0,25,1,0.5,0.5,1.5,10
0,0,50,81,59,50,1,0.5,0.5,1.5,10
81,59,50,0,0,50,1,0.5,0.5,1.5,10
0,0,50,235,170,50,1,0.5,0.5,1.5,10
235,170,50,0,0,50,1,0.5,0.5,1.5,10
0,0,50,-100,0,50,1,0.5,0.5,1.5,10
-100,0,50,0,0,50,1,0.5,0.5,1.5,10
0,0,25,235,170,25,1,0.5,0.5,1.5,10
235,170,25,0,0,25,1,0.5,0.5,1.5,10
0,0,50,-31,95,50,1,0.5,0.5,1.5,10
-31,95,50,0,0,50,1,0.5,0.5,1.5,10
0,0,25,-31,95,25,1,0.5,0.5,1.5,10
-31,95,25,0,0,25,1,0.5,0.5,1.5,10
0,0,25,-90,276,25,1,0.5,0.5,1.5,10
-90,276,25,0,0,25,1,0.5,0.5,1.5,10
0,0,50,-90,-276,50,1,0.5,0.5,1.5,10
-90,-276,50,0,0,50,1,0.5,0.5,1.5,10
0,0,50,-31,-95,50,1,0.5,0.5,1.5,10
-31,-95,50,0,0,50,1,0.5,0.5,1.5,10
0,0,50,81,-59,50,1,0.5,0.5,1.5,10
81,-59,50,0,0,50,1,0.5,0.5,1.5,10
0,0,25,235,-170,25,1,0.5,0.5,1.5,10
235,-170,25,0,0,25,1,0.5,0.5,1.5,10
0,0,25,-90,-276,25,1,0.5,0.5,1.5,10
